"uploader","view","category","danmuku_n","playfulness","upstream_uploader","upstream_n","upstream_view","downstream_uploader","downstream_n","downstream_view","d_to_view","interaction_mode","interactive_degree"
"共青团中央",4.616,"Ideology Education",35000,"not playful","N/A","N/A","N/A","Official","2","624,000","   7582.32236","Official Only","Low"
"央视新闻",4.823,"Ideology Education",0,"not playful","N/A","N/A","N/A","Official & Non-official","4","673,000","      0.00000","Top-Down","One-directional"
"广东共青团",4.532,"International Affairs",31590000,"not playful","N/A","N/A","N/A","N/A","N/A","N/A","6970432.48014","Official Only","Low"
"共青团中央",4.473,"National Achievement",1790000,"not playful","N/A","N/A","N/A","Non-official","1","54,000"," 400178.85088","Top-Down","One-directional"
"广东共青团",4.398,"National Spirit",17000,"not playful","N/A","N/A","N/A","N/A","N/A","N/A","   3865.39336","Official Only","Low"
"广东共青团",4.545,"National Spirit",37000,"not playful","Official & Non-official","100","491,000","Official & Non-official","800","396,000","   8140.81408","Bidirectional","Bidirectional"
"河南共青团",4.566,"International Affairs",7413,"playful","N/A","N/A","N/A","Official & Non-official","1000","2,586,000","   1623.52168","Top-Down","One-directional"
"央视网快看",4.983,"Culture and History",5657,"not playful","N/A","N/A","N/A","Official & Non-official","150","116,000","   1135.25988","Top-Down","One-directional"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"           NA",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"           NA",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"           NA",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"           NA",NA,NA
