账号名称,视频名称,视频观看量(W),弹幕数（W）,类别分类,风格分类（playful patriotism）,上游视频发布主体,上游视频数量,上游视频浏览量,下游视频发布主体,下游视频数量,下游视频浏览量,所属四类类别
观察者网,台政论节目：你们看到我们跟大陆的对比，不觉得恐惧吗？,544.4,6.3,（3）政治外交类,playful,N/A,N/A,N/A,N/A,N/A,N/A,
观察者网,骁话一下：为什么欧洲没有互联网？,555.3,4.7,（5）思想教育、价值观引导类,not playful,Non official,1,"119,000",Official & Non-official,5,"52,000",
浙江共青团,笑死我了！中国强大靠美国的钱？外交部：中国养肥了多少,529.1,0.9051,（3）政治外交类,playful,Official,1,"15,000",N/A,N/A,N/A,
观察者网,普京：非洲人也想过瑞典人的好日子，咋办？,559,1.2,（3）政治外交类,not playful,N/A,N/A,N/A,Official & Non-official,5,"631,000",
福建共青团,或许，这才是大多数普通人的“后浪”,529.8,2.4,（1）国家、民族精神体现类,not playful,Official & Non-official,20,"32,559,000",Official,1,"1,319,000",典型interaction
广东共青团,“不，尊敬的奴隶主先生，这是你们的杰作” （美国）,599.1,1.2,（3）政治外交类,not playful,N/A,N/A,N/A,N/A,N/A,N/A,
央视新闻,唱支Rap给党听,577,1.8,（1）国家、民族精神体现类,playful,Non official,3,"81,000",Non-official,9,"656,000",
共青团中央,有人把航母命名为“皮皮虾号”？【国防部例行记者会,516.3,5.1,（2）国家成就类,playful,N/A,N/A,N/A,Non-official & official,6,"67,000",
观察者网,骁话一下：2020美国大选，为什么我认为瞌睡拜登能打赢,518.8,5.8,（5）思想教育、价值观引导类,not playful,N/A,N/A,N/A,N/A,N/A,N/A,
央视频,啥都怪中国？美国脱口秀主持人看不下去了,522.1,1.8,（3）政治外交类,playful,N/A,N/A,N/A,N/A,N/A,N/A,
广东共青团,实锤了！普京你是真的皮！！！,524.4,0.2563,（3）政治外交类,playful,N/A,N/A,N/A,Official & Non-official,6,"744,000",对俄领导人态度很有趣
浙江共青团,【幼稚园杀手】红色,550.7,2.4,（1）国家、民族精神体现类,not playful,N/A,N/A,N/A,Non-official,1,"1,859,000",
共青团中央,被国防部深深地圈粉了,499,0.9446,（3）政治外交类,playful,N/A,N/A,N/A,Official,9,,
观察者网,骁话一下：巴基斯坦政治分裂拿中国开刀，巴铁真的铁吗？,510.4,4.1,（3）政治外交类,not playful,N/A,N/A,N/A,N/A,N/A,N/A,
广东共青团,“这是我爸”“爸！” （警察）,498.7,1.2,（1）国家、民族精神体现类,not playful,N/A,N/A,N/A,Non-official,2,"1,491,000",
小央视频,面对特朗普 各国领导人表情“失控”合集,519.1,0.8301,（3）政治外交类,playful,N/A,N/A,N/A,N/A,N/A,N/A,
观察者网,骁话一下：努力了60多年，为什么一个疫情就能让欧盟窝里,489.6,4.9,（5）思想教育、价值观引导类,not playful,N/A,N/A,N/A,N/A,N/A,N/A,
共青团中央,“不感兴趣。”,483.4,0.5934,（3）政治外交类,playful,N/A,N/A,N/A,Official,1,"3,281,000",
